0.051	-0.152	-0.422	-0.318	-0.238	0.236	-0.078	0.148
0.6495	-0.2965	0.286	0.065	-0.014	0.009	-0.1825	-0.4005
2.346	1.012	1.326	-0.648	-2.391	-3.696	-3.05	-2.473
-0.215	-0.256	-0.194	-0.24	-0.082	0.074	-0.234	-0.155
-0.506	-0.221	0.093	0.142	0.149	-0.044	-0.392	-0.391
0.0335	-0.6025	0.236	0.3135	0.1455	0.5795	0.0075	-0.012
-0.199	0.513	0.2	-0.094	-0.118	-0.072	0.084	0.077
0.043	0.749	-0.078	-0.047	0.282	0.16	0.095	0.22
-0.401	-0.303	-0.142	0	0	0.234	-0.229	-0.363
-0.652	-0.481	-0.35	-0.619	-0.72	-0.476	-0.791	-1.159
-0.208	-1.2857	-0.202	-0.055	-0.7513	0.8883	0.2567	0.0893
-0.138	-1.0005	0.152	0.007	-0.154	-0.0105	0.3165	0.2845
0.279	0.158	0.054	0.17	0.21	-0.142	-0.327	-0.166
-0.134	0.424	0.001	-0.166	-0.134	-0.005	0.025	0.213
-0.38	-2.285	0.451	0.494	0.671	2.934	0.146	-0.297
-0.461	-0.737	-0.104	0.284	0.087	0.345	-0.357	0.016
-0.157	-0.49	0.7	0.707	0.538	0.559	0.387	-0.176
0.355	-0.29	-0.566	-0.57	-0.17	0.168	-0.13	0.293
0.214	-1.077	0.066	0.214	0.203	1.002	-0.385	-0.541
0.193	-1.058	0.304	0.193	-0.029	0.737	-0.052	0.285
0.047	0.069	0.021	-0.126	-0.184	-0.341	0.3	0.201
0.199	0.254	0.214	-0.102	0	-0.066	0.217	0.137
-0.058	0.198	-0.2	-0.213	-0.019	-0.016	-0.177	-0.595
0.271	0.104	0.087	0.041	0.105	0.287	0.621	0.414
-0.2917	-0.7023	0.115	0.1577	0.27	1.0287	0.1297	-0.0433
0.364	0.5565	0.152	-0.0165	0.1315	-0.057	0.32	0.0725
0.738	0.512	0.37	0.313	-0.428	-0.407	0.059	0.007
-0.028	0.62	0.674	0.322	-0.071	-0.234	-0.388	-0.221
0.1445	0.382	0.0195	0.0075	-0.1985	-0.443	0.098	-0.0435
-0.276	0.662	0.862	0.836	0.461	0.125	0.127	0.123
-0.585	0.22	0.27	0.095	-0.181	-0.363	-0.189	0.187
0.128	0.15	-0.299	-0.428	-0.276	-0.437	0.368	0.182
-0.074	-0.412	0.278	-0.134	0.11	1.025	0.178	-0.202
0.082	-0.097	-0.046	0.229	-0.1265	0.0025	-0.193	-0.091
0.111	0.708	-0.026	-0.456	-0.498	-0.536	-0.415	-0.267
-0.75	-0.657	-0.416	-0.541	0.25	0.319	0.74	0.762
0.592	-0.737	-1.696	-0.0295	0	-1.7925	-0.7925	-0.0574
0.085	0.135	0.627	0.408	0.482	-0.457	-0.527	-0.33
0.257	0	0.282	0.345	0.477	0.01	0.102	0.061
0.1985	0.2715	-0.089	-0.0755	-0.058	-0.262	-0.1	0.33
-0.076	-0.121	0.638	0.261	0.117	-0.175	-0.134	-0.209
0.286	0.552	0.447	0.274	0.363	-0.036	-0.154	-0.198
-0.209	-0.024	-0.198	-0.292	-0.184	0.402	0.096	0.4
0.2305	0.6705	-0.1025	-0.3815	-0.222	-0.3815	0.175	-0.299
0.634	0.752	-0.411	-0.503	-0.399	0.162	0.658	0.275
-0.057	0.295	-0.415	0.16	0.115	0.085	-0.131	0.415
-0.317	2.233	-0.962	-0.413	-1.223	-2.239	1.201	1.185
0.152	0.249	0.311	0.009	0.403	0.066	0.123	-0.059
0.233	0.624	0.058	0.114	-0.012	-0.277	-0.067	0.298
-0.0515	-0.421	0.092	-0.0315	-0.0675	0.434	-0.1695	0.042
0.641	0.304	0.057	-0.037	-0.122	-0.156	-0.267	-0.391
0.177	-0.574	0.216	-0.088	-0.124	0.133	0.138	0.27
-0.181	0.092	-0.304	0.051	0.136	0.102	0.048	0.109
-0.383	-0.1	-0.373	0.246	0.382	0.17	-0.135	-0.231
0.03	-0.278	0.088	-0.17	-0.228	0.149	-0.027	0.457
-0.4595	0.563	-0.813	-0.851	0.568	0.6575	0.3204	0.194
-0.2503	-0.4777	-0.3407	-0.137	0.089	0.3453	0.0733	0.3299
-0.888	-0.337	-0.351	-0.874	-0.234	-0.807	-0.284	-0.974
1.2695	0.1515	0.4895	-0.6255	-1.138	-0.5234	0.0135	-0.1469
-0.404	0.086	-0.485	-0.75	-0.117	-0.173	-0.391	0.018
-0.284	-0.895	-0.083	-0.32	-0.167	0.329	-1.044	-0.235
-0.043	-0.531	0.079	-0.012	-0.198	0.183	-0.081	-0.603
-0.086	0.0655	0.012	0.1185	0.0615	0.0905	0.4555	0.333
0.16	-0.125	0.204	-0.109	-0.076	-0.238	0.14	-0.022
0.291	-0.045	0.306	0.168	-0.058	-0.138	-0.258	0.353
0.719	0.419	-0.104	-0.49	-0.354	-0.501	-0.966	0.102
0.0103	-0.1725	-0.8285	-0.0585	-0.1396	0.069	0.3344	0.3668
0.188	-0.215	-0.092	-0.256	-0.069	0.17	0.563	0.476
-0.5345	0.254	-0.3315	-0.2995	0.0685	-0.2615	-0.7745	-0.296
-0.407	0.239	0.376	0.076	0	-0.833	-0.445	-0.943
-0.152	-0.347	-0.077	-0.066	0.167	0.307	-0.327	-0.285
-0.123	0.108	0.008	0.263	0.233	-0.059	0.241	0.1
-0.182	-0.639	0.167	0.295	0.047	0.114	-0.392	-0.228
-0.272	0.134	0.246	0.243	0.083	-0.169	0.015	0.038
0.022	0.183	-0.173	-0.363	-0.446	-0.5	-0.024	-0.162
0.702	0.374	0.614	0.418	0.333	0.145	0.1	-0.048
0.109	-0.057	-0.485	-0.322	-0.181	0.044	0.07	-0.322
0.436	0.204	-0.112	0.083	-0.288	-0.187	-0.413	-0.299
-0.361	-0.886	-0.327	-0.234	0.085	0.875	-0.047	0.176
0.639	0.346	-0.051	0.024	-0.057	-0.352	-0.216	-0.249
-0.272	-0.355	-0.165	0.144	0.359	0.397	-0.136	0.158
1.258	0.94	0.236	-0.573	-0.573	-1.072	-0.981	-0.671
0.327	0.282	0.135	0.046	0.216	0.376	0.854	0.651
0.539	0.379	0.15	0.086	-0.163	0.119	0.275	-0.242
-0.0845	-0.089	0.4405	0.327	-0.0365	-0.357	-0.4065	-0.4865
